topic_index,topic_rank,learned_z_score,mean_seed_learned_z,oracle_z_score,mean_seed_oracle_z,learned_oracle_sign_agreement,seed_sign_agreement,source_sign_agreement,subsample_sign_agreement,subsample_top_pool_frequency,mean_loading_similarity,ranking_score
63,1,6.308943245525361,3.918386560219316,5.742671983520992,3.4302413619548098,True,1.0,1.0,1.0,1.0,0.40061958361106015,4.418214730786771
59,2,-4.882039103722541,-4.0818880929248715,-4.05280576469609,-3.4033845604502173,True,1.0,1.0,1.0,1.0,0.7818906724796987,4.349629970802172
81,3,4.637756915838652,4.446889765775616,3.9087396804119234,3.802835073621866,True,1.0,1.0,1.0,0.9,0.8646967976309875,3.9997048419843257
96,4,4.1067988625808685,3.99914650015566,3.183821182169546,3.050186273367297,True,1.0,1.0,1.0,0.9666666666666667,0.9893100139083337,3.9827268499392448
44,5,4.047234243146542,4.045159798780461,3.522232959900329,3.5209919039962316,True,1.0,1.0,1.0,0.9666666666666667,0.998313179150352,3.9427252445043126
23,6,-4.453200324293015,-3.701833741937404,-3.9833006895818612,-3.2911939144030797,True,1.0,1.0,1.0,0.9666666666666667,0.6051350959405634,3.4846442132661006
71,7,-4.660429045220174,-2.88521129680945,-4.380985117895164,-2.73131221869149,True,1.0,1.0,1.0,1.0,0.48603592725915595,3.462782498819632
72,8,4.046831579812595,4.035990513581484,3.4898532830612456,3.4823475160257655,True,1.0,1.0,1.0,0.8,0.9927300596487295,3.427303247557034
12,9,-3.967852359696965,-3.9601114953578733,-3.402939254513382,-3.398177992673963,True,1.0,1.0,1.0,0.7666666666666667,0.9921070545928518,3.2605595044007774
68,10,-4.696843364607287,-3.3894234037841553,-4.232251502844222,-2.9984953273325616,True,1.0,1.0,1.0,0.9666666666666667,0.3969540309839507,3.198621207155581
64,11,3.942246712690828,3.2055574126094846,2.683381620666298,2.037219739845475,True,1.0,1.0,1.0,0.8333333333333334,0.8303092760250989,3.156794692895146
78,12,-3.933005285709046,-3.9193101587868333,-4.215067372071191,-4.197976409006556,True,1.0,1.0,1.0,0.7333333333333333,0.9698762572863728,3.0990134928400224
15,13,-3.79289939029998,-3.79166110534558,-3.485700406807195,-3.484771170542327,True,1.0,1.0,1.0,0.7333333333333333,0.9986726944057832,3.032305777608365
